#M log_10_prob bin hits hits/sum_hits
#sir_exec simple-sample --graph-type Sw 0.1 -n 3200 --samples 10000000 --transmission 0.1 -j24
0.0221875 -1.9708881570923298e-1 71 1985 1.9850031760050815e-4
0.0225 -2.4054299447708116e-1 72 1796 1.7960028736045978e-4
0.0228125 -2.866768001412452e-1 73 1615 1.6150025840041345e-4
0.023125 -3.263518432853343e-1 74 1474 1.4740023584037734e-4
0.0234375 -3.379974257383558e-1 75 1435 1.4350022960036736e-4
0.02375 -4.1820888313802485e-1 76 1193 1.193001908803054e-4
0.0240625 -4.626336235103854e-1 77 1077 1.0770017232027571e-4
0.024375 -4.7698160784486143e-1 78 1042 1.0420016672026675e-4
0.0246875 -5.391615764948612e-1 79 903 9.030014448023116e-5
0.025 -5.649197667237789e-1 80 851 8.510013616021786e-5
0.0253125 -6.273818389493155e-1 81 737 7.370011792018867e-5
0.025625000000000002 -6.806017310764467e-1 82 652 6.520010432016691e-5
0.025937500000000002 -7.217946334441043e-1 83 593 5.930009488015181e-5
0.02625 -7.624555669853983e-1 84 540 5.400008640013824e-5
0.0265625 -8.172423740878738e-1 85 476 4.7600076160121854e-5
0.026875 -8.028842240410063e-1 86 492 4.9200078720125955e-5
0.0271875 -8.884679616977618e-1 87 404 4.040006464010342e-5
0.0275 -9.483066633302357e-1 88 352 3.5200056320090114e-5
0.0278125 -1.0206330627321116e0 89 298 2.9800047680076287e-5
0.028125 -1.0048908473835323e0 90 309 3.0900049440079105e-5
0.0284375 -1.0866093614965173e0 91 256 2.5600040960065535e-5
0.02875 -1.078208819470086e0 92 261 2.6100041760066817e-5
0.0290625 -1.1446013084742037e0 93 224 2.2400035840057344e-5
0.029375000000000002 -1.266962622194693e0 94 169 1.6900027040043264e-5
0.029687500000000002 -1.2721328556607836e0 95 167 1.6700026720042753e-5
0.03 -1.3216630583960929e0 96 149 1.4900023840038143e-5
0.0303125 -1.3910456058524097e0 97 127 1.2700020320032512e-5
0.030625 -1.4303913375814488e0 98 116 1.1600018560029696e-5
0.0309375 -1.4303913375814488e0 99 116 1.1600018560029696e-5
0.03125 -1.457422828867743e0 100 109 1.0900017440027904e-5
0.0315625 -1.486249155046449e0 101 102 1.0200016320026113e-5
0.031875 -1.6753053912664977e0 102 66 6.600010560016896e-6
0.0321875 -1.66877452410754e0 103 67 6.700010720017152e-6
0.0325 -1.804653246779853e0 104 49 4.900007840012544e-6
0.0328125 -1.7544866373141228e0 105 55 5.50000880001408e-6
0.033125 -1.73142133324543e0 106 58 5.800009280014848e-6
0.0334375 -1.9385468260410792e0 107 36 3.600005760009216e-6
0.03375 -1.9507812824580912e0 108 35 3.50000560000896e-6
0.0340625 -1.976335386930479e0 109 33 3.300005280008448e-6
0.034375 -1.9633704097661115e0 110 34 3.400005440008704e-6
0.0346875 -2.1938193311443857e0 111 20 2.00000320000512e-6
0.035 -2.1524266459861603e0 112 22 2.200003520005632e-6
0.035312500000000004 -2.3187580677526856e0 113 15 1.50000240000384e-6
0.035625000000000004 -2.3487212911301287e0 114 14 1.400002240003584e-6
0.035937500000000004 -2.2395768217050604e0 115 18 1.800002880004608e-6
0.03625 -2.216095725855538e0 116 19 1.900003040004864e-6
0.0365625 -2.716698076424723e0 117 6 6.00000960001536e-7
0.036875 -2.4534566416501415e0 118 11 1.100001760002816e-6
0.0371875 -2.64975128679411e0 119 7 7.00001120001792e-7
0.0375 -2.8927893354804044e0 120 4 4.00000640001024e-7
0.0378125 -2.591759339816423e0 121 8 8.00001280002048e-7
0.038125 -2.5406068173690417e0 122 9 9.00001440002304e-7
0.0384375 -2.8927893354804044e0 123 4 4.00000640001024e-7
0.03875 -2.795879322472348e0 124 5 5.0000080000128e-7
0.0390625 -2.716698076424723e0 125 6 6.00000960001536e-7
0.039375 -2.64975128679411e0 126 7 7.00001120001792e-7
0.0396875 -3.1938193311443857e0 127 2 2.00000320000512e-7
0.04 -2.795879322472348e0 128 5 5.0000080000128e-7
0.0403125 -3.1938193311443857e0 129 2 2.00000320000512e-7
0.040625 -3.494849326808367e0 130 1 1.00000160000256e-7
0.0409375 -3.494849326808367e0 131 1 1.00000160000256e-7
0.04125 -3.1938193311443857e0 132 2 2.00000320000512e-7
0.0415625 -3.494849326808367e0 133 1 1.00000160000256e-7
0.041875 -inf 134 0 0e0
0.0421875 -inf 135 0 0e0
0.0425 -inf 136 0 0e0
0.0428125 -inf 137 0 0e0
0.043125000000000004 -3.494849326808367e0 138 1 1.00000160000256e-7
0.043437500000000004 -inf 139 0 0e0
0.043750000000000004 -inf 140 0 0e0
0.0440625 -inf 141 0 0e0
